MAXIGSC,F4-10keV
MAXIGSC,e_F4-10keV
MAXIGSC,F3-4keV
MAXIGSC,e_F3-4keV
MAXIGSC,F10-20keV
MAXIGSC,e_F10-20keV
MAXIGSC,F3-10keV
MAXIGSC,e_F3-10keV
eROSITA-EDR,Name
eROSITA-EDR,RAcdeg
eROSITA-EDR,DEcdeg
eROSITA-EDR,ePosc
eROSITA-EDR,Ext
eROSITA-EDR,e_Ext
eROSITA-EDR,MLRate
eROSITA-EDR,e_MLRate
eROSITA-EDR,MLFlux
eROSITA-EDR,e_MLFlux
eROSITA-EDR,MLRateb1
eROSITA-EDR,MLRateb2
eROSITA-EDR,MLRateb3
eROSITA-EDR,MLRateb4
eROSITA-EDR,MLRates
eROSITA-EDR,MLRateh
eROSITA-EDR,MLRateu
eROSITA-EDR,e_MLRateb1
eROSITA-EDR,e_MLRateb2
eROSITA-EDR,e_MLRateb3
eROSITA-EDR,e_MLRateb4
eROSITA-EDR,e_MLRates
eROSITA-EDR,e_MLRateh
eROSITA-EDR,e_MLRateu
eROSITA-EDR,E_MLRateb1
eROSITA-EDR,E_MLRateb2
eROSITA-EDR,E_MLRateb3
eROSITA-EDR,E_MLRateb4
eROSITA-EDR,E_MLRates
eROSITA-EDR,E_MLRateh
eROSITA-EDR,E_MLRateu
ZWCLUSTERS,ZG
ZWCLUSTERS,_RA.icrs
ZWCLUSTERS,_DE.icrs
PSZ2,Name
PSZ2,RAJ2000
PSZ2,DEJ2000
5BZCat,Name
5BZCat,RAJ2000
5BZCat,DEJ2000
BROS,BROS_ID
BROS,RA
BROS,Dec
ABELL,name
ABELL,ra
ABELL,dec
MCXC,MCXC
MCXC,RAJ2000
MCXC,DEJ2000
SDSSWHL,WHL
SDSSWHL,RAJ2000
SDSSWHL,DEJ2000
SWXCS,name
SWXCS,ra
SWXCS,dec
3HSP,Name
3HSP,ra
3HSP,dec
PULSAR,name
PULSAR,ra
PULSAR,dec
F2PSR,name
F2PSR,ra
F2PSR,dec
FermiGRB,gcn_name
FermiGRB,ra
FermiGRB,dec
MilliQuas,RAJ2000
MilliQuas,DEJ2000
MilliQuas,Name
MilliQuas,Type
MilliQuas,z
4LAC,RA_Count
4LAC,Dec_Count
4LAC,Source_Name
4LAC,CLASS
4LAC,Redshift
F357cat,Name
F357cat,RAJ2000
F357cat,DEJ2000
WISH352,WNB
WISH352,RAJ2000
WISH352,DEJ2000
WISH352,SI
WISH352,Nse
TGSS150,name
TGSS150,ra
TGSS150,ra_error
TGSS150,dec
TGSS150,dec_error
TGSS150,flux_150_mhz
TGSS150,flux_150_mhz_error
TGSS150,rms_150_mhz
LoTSS,Source
LoTSS,RAJ2000
LoTSS,e_RAdegTot
LoTSS,DEJ2000
LoTSS,e_DEdegTot
LoTSS,Speak
LoTSS,e_SpeakTot
VLSSR,RAJ2000
VLSSR,DEJ2000
VLSSR,Sp
VLSSR,e_Sp
VLSSR,JD
GLEAM,name
GLEAM,ra
GLEAM,ra_error
GLEAM,dec
GLEAM,dec_error
GLEAM,flux_wide
GLEAM,flux_wide_error
GLEAM,flux_76_mhz
GLEAM,flux_76_mhz_error
GLEAM,flux_84_mhz
GLEAM,flux_84_mhz_error
GLEAM,flux_92_mhz
GLEAM,flux_92_mhz_error
GLEAM,flux_99_mhz
GLEAM,flux_99_mhz_error
GLEAM,flux_107_mhz
GLEAM,flux_107_mhz_error
GLEAM,flux_115_mhz
GLEAM,flux_115_mhz_error
GLEAM,flux_122_mhz
GLEAM,flux_122_mhz_error
GLEAM,flux_130_mhz
GLEAM,flux_130_mhz_error
GLEAM,flux_143_mhz
GLEAM,flux_143_mhz_error
GLEAM,flux_151_mhz
GLEAM,flux_151_mhz_error
GLEAM,flux_158_mhz
GLEAM,flux_158_mhz_error
GLEAM,flux_166_mhz
GLEAM,flux_166_mhz_error
GLEAM,flux_174_mhz
GLEAM,flux_174_mhz_error
GLEAM,flux_181_mhz
GLEAM,flux_181_mhz_error
GLEAM,flux_189_mhz
GLEAM,flux_189_mhz_error
GLEAM,flux_197_mhz
GLEAM,flux_197_mhz_error
GLEAM,flux_204_mhz
GLEAM,flux_204_mhz_error
GLEAM,flux_212_mhz
GLEAM,flux_212_mhz_error
GLEAM,flux_220_mhz
GLEAM,flux_220_mhz_error
GLEAM,flux_227_mhz
