id,url,columns
BAT105m,http://vo.bsdc.icranet.org/bat105mon/q/cone/scs.xml?,"BAT_NAME,RA,DEC,FLUX,FLUX_LO,FLUX_HI,GAMM,SNR"
NuBlazar,http://vo.bsdc.icranet.org/nustar/q/cone/scs.xml?,"ra,dec,Freq,Freq_err,Flux,Flux_err,MJD"
3FGL,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=fermi3fgl&,"name,ra,dec,semi_major_axis_95,semi_minor_axis_95,position_angle_95,flux_1_100_gev,flux_30_100_mev,flux_100_300_mev,flux_0p3_1_gev,flux_1_3_gev,flux_3_10_gev,flux_10_100_gev,flux_1_100_gev_error,flux_30_100_mev_pos_err,flux_100_300_mev_pos_err,flux_0p3_1_gev_pos_err,flux_1_3_gev_pos_err,flux_3_10_gev_pos_err,flux_10_100_gev_pos_err,flux_1_100_gev_error,flux_30_100_mev_neg_err,flux_100_300_mev_neg_err,flux_0p3_1_gev_neg_err,flux_1_3_gev_neg_err,flux_3_10_gev_neg_err,flux_10_100_gev_neg_err,spectral_index,spectral_index_error"
2FHL,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=J%2FApJS%2F222%2F5%2F2fhl&,"_2FHL,RAJ2000,DEJ2000,e_pos,F50,F171,F585,F2000,e_F50,e_F171,e_F585,e_F2000,E_F171,E_F585,E_F2000,Gam,SpD11,e_Gam,e_SpD11"
3FHL,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=fermi3fhl&,"name,ra,dec,error_radius,flux,flux_error,flux_10_20_gev,flux_10_20_gev_neg_err,flux_10_20_gev_pos_err,flux_20_50_gev,flux_20_50_gev_neg_err,flux_20_50_gev_pos_err,flux_50_150_gev,flux_50_150_gev_neg_err,flux_50_150_gev_pos_err,flux_150_500_gev,flux_150_500_gev_neg_err,flux_150_500_gev_pos_err,flux_0p5_2_tev,flux_0p5_2_tev_neg_err,flux_0p5_2_tev_pos_err,powerlaw_index,powerlaw_index_error,redshift"
2BIGB,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=J%2FMNRAS%2F493%2F2438%2Fsed&,"RAJ2000,DEJ2000,Freq,Flux,e_Flux,_2BIGB"
4FGL2,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=fermilpsc&,"name,ra,dec,flux_1_100_gev,flux_1_100_gev_error,semi_major_axis_95,semi_minor_axis_95,position_angle_95,pl_index,pl_index_error"
4FGL-DR3,http://vo.bsdc.icranet.org/fermi4fgl/q/cone/scs.xml?,"Source_Name,RA,Dec,SemiMajor,SemiMinor,PosAng,Flux,Unc_Flux,PL_Index,Unc_PL_Index,Flux1,Flux2,Flux3,Flux4,Flux5,Flux6,Flux7,Flux8,UncL_Flux1,UncU_Flux1,UncL_Flux2,UncU_Flux2,UncL_Flux3,UncU_Flux3,UncL_Flux4,UncU_Flux4,UncL_Flux5,UncU_Flux5,UncL_Flux6,UncU_Flux6,UncL_Flux7,UncU_Flux7,UncL_Flux8,UncU_Flux8"
FermiMeV,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=J%2FA+A%2F618%2FA22&,"Name,RAJ2000,DEJ2000,ePos,F30-100,e_F30-100,F100-300,e_F100-300"
MST9Y,http://vo.bsdc.icranet.org/mst9y/q/cone/scs.xml?,"Name,RA,Dec"
2AGILE,http://vo.bsdc.icranet.org/agile/q/cone/scs.xml?,"Name,RA,Dec,Rad,alpha,e_alpha,Fgamma,e_Fgamma,F1,errl_F1,erru_F1,F2,errl_F2,erru_F2,F3,errl_F3,erru_F3,F4,errl_F4,erru_F4"
VERITAS,http://vo.bsdc.icranet.org/veritas/q/ssa/ssap.xml?,"e_ref,dnde,dnde_errn,dnde_errp"
MAGIC,http://vo.bsdc.icranet.org/magic/q/ssa/ssap.xml?,"energy,flux,flux_error"
HESS,http://voparis-srv.obspm.fr/srv/ssa-hess_spectrum.php?,"energy,flux"
FMonLC,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=fermilasp&,"name,ra,dec,time,end_time,flux_0p1_300_gev,flux_0p1_300_gev_error,flux_1_300_gev,flux_1_300_gev_error,flux_300_1000_mev,flux_300_1000_mev_error,duration,test_stat_0p1_300_gev,met_start,met_end"
